Date,Event
2023-01-11,"['Crude Oil Inventories', '10-Year Note Auction']"
2023-01-12,"['Continuing Jobless Claims', 'CPI', 'WASDE Report', '30-Year Bond Auction']"
2023-01-13,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-01-17,['OPEC Monthly Report']
2023-01-18,"['IEA Monthly Report', 'PPI', 'Retail Sales']"
2023-01-19,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2023-01-20,['U.S. Baker Hughes Oil Rig Count']
2023-01-25,['Crude Oil Inventories']
2023-01-26,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2023-01-27,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-02-01,"['ISM Manufacturing PMI', 'JOLTs Job Openings', 'Crude Oil Inventories', 'FOMC Statement']"
2023-02-02,['Continuing Jobless Claims']
2023-02-03,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-02-07,['EIA Short-Term Energy Outlook']
2023-02-08,"['Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2023-02-09,"['Continuing Jobless Claims', '30-Year Bond Auction']"
2023-02-10,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-02-14,"['OPEC Monthly Report', 'CPI']"
2023-02-15,"['IEA Monthly Report', 'Retail Sales', 'Crude Oil Inventories']"
2023-02-16,"['Continuing Jobless Claims', 'PPI']"
2023-02-17,['U.S. Baker Hughes Oil Rig Count']
2023-02-22,['FOMC Meeting Minutes']
2023-02-23,"['Continuing Jobless Claims', 'Core PCE Prices', 'Crude Oil Inventories']"
2023-02-24,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-02-25,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-02-27,['Durable Goods Orders']
2023-03-01,"['ISM Manufacturing PMI', 'Crude Oil Inventories']"
2023-03-02,['Continuing Jobless Claims']
2023-03-03,"['ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-03-07,"['Fed Chair Powell Testifies', 'EIA Short-Term Energy Outlook']"
2023-03-08,"['Fed Chair Powell Testifies', 'JOLTs Job Openings', 'Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2023-03-09,"['Fed Chair Powell Testifies', 'JOLTs Job Openings', 'Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2023-03-10,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-03-14,"['OPEC Monthly Report', 'CPI']"
2023-03-15,"['IEA Monthly Report', 'PPI', 'Retail Sales', 'Crude Oil Inventories']"
2023-03-16,['Continuing Jobless Claims']
2023-03-17,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-03-22,['Crude Oil Inventories']
2023-03-23,['Continuing Jobless Claims']
2023-03-24,"['Durable Goods Orders', 'U.S. Baker Hughes Oil Rig Count']"
2023-03-29,['Crude Oil Inventories']
2023-03-30,"['Continuing Jobless Claims', 'Core PCE Prices']"
2023-03-31,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-04-03,['ISM Manufacturing PMI']
2023-04-04,['JOLTs Job Openings']
2023-04-05,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2023-04-06,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2023-04-07,['Nonfarm Payrolls']
2023-04-11,"['EIA Short-Term Energy Outlook', 'WASDE Report']"
2023-04-12,"['CPI', 'Crude Oil Inventories', '10-Year Note Auction', 'FOMC Meeting Minutes']"
2023-04-13,"['OPEC Monthly Report', 'Continuing Jobless Claims', 'PPI', '30-Year Bond Auction']"
2023-04-14,"['IEA Monthly Report', 'Retail Sales', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-04-19,['Crude Oil Inventories']
2023-04-20,['Continuing Jobless Claims']
2023-04-21,['U.S. Baker Hughes Oil Rig Count']
2023-04-26,"['Durable Goods Orders', 'Crude Oil Inventories']"
2023-04-27,"['Continuing Jobless Claims', 'Core PCE Prices']"
2023-05-01,['ISM Manufacturing PMI']
2023-05-02,['JOLTs Job Openings']
2023-05-03,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories', 'FOMC Statement']"
2023-05-04,['Continuing Jobless Claims']
2023-05-05,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-05-09,['EIA Short-Term Energy Outlook']
2023-05-10,"['CPI', 'Crude Oil Inventories', '10-Year Note Auction']"
2023-05-11,"['OPEC Monthly Report', 'Continuing Jobless Claims', 'PPI', '30-Year Bond Auction']"
2023-05-12,"['Michigan Consumer Expectations', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2023-05-16,"['IEA Monthly Report', 'Retail Sales']"
2023-05-17,['Crude Oil Inventories']
2023-05-18,['Continuing Jobless Claims']
2023-05-19,['U.S. Baker Hughes Oil Rig Count']
2023-05-24,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2023-05-25,"['Continuing Jobless Claims', 'Core PCE Prices']"
2023-05-26,"['Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-06-01,"['Continuing Jobless Claims', 'ISM Manufacturing PMI', 'Crude Oil Inventories']"
2023-06-02,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-06-05,['ISM Non-Manufacturing PMI']
2023-06-06,['EIA Short-Term Energy Outlook']
2023-06-07,['Crude Oil Inventories']
2023-06-08,['Continuing Jobless Claims']
2023-06-09,"['WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2023-06-12,['10-Year Note Auction']
2023-06-13,"['OPEC Monthly Report', 'CPI', '30-Year Bond Auction']"
2023-06-14,"['IEA Monthly Report', 'PPI', 'Crude Oil Inventories', 'FOMC Statement']"
2023-06-15,"['Continuing Jobless Claims', 'Retail Sales']"
2023-06-16,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-06-21,['Fed Chair Powell Testifies']
2023-06-22,"['Continuing Jobless Claims', 'Fed Chair Powell Testifies', 'Crude Oil Inventories']"
2023-06-23,['U.S. Baker Hughes Oil Rig Count']
2023-06-27,['Durable Goods Orders']
2023-06-28,['Crude Oil Inventories']
2023-06-29,"['Continuing Jobless Claims', 'Core PCE Prices']"
2023-06-30,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-07-03,['ISM Manufacturing PMI']
2023-07-05,['FOMC Meeting Minutes']
2023-07-06,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI', 'JOLTs Job Openings', 'Crude Oil Inventories']"
2023-07-07,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-07-08,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-07-11,['EIA Short-Term Energy Outlook']
2023-07-12,"['CPI', 'Crude Oil Inventories', 'WASDE Report', '10-Year Note Auction']"
2023-07-13,"['IEA Monthly Report', 'OPEC Monthly Report', 'Continuing Jobless Claims', 'PPI', '30-Year Bond Auction']"
2023-07-14,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-07-18,['Retail Sales']
2023-07-19,['Crude Oil Inventories']
2023-07-20,['Continuing Jobless Claims']
2023-07-21,['U.S. Baker Hughes Oil Rig Count']
2023-07-26,"['Crude Oil Inventories', 'FOMC Statement']"
2023-07-27,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders']"
2023-07-28,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-08-01,"['ISM Manufacturing PMI', 'JOLTs Job Openings']"
2023-08-02,['Crude Oil Inventories']
2023-08-03,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI']"
2023-08-04,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-08-08,['EIA Short-Term Energy Outlook']
2023-08-09,"['Crude Oil Inventories', '10-Year Note Auction']"
2023-08-10,"['Crude Oil Inventories', '10-Year Note Auction']"
2023-08-11,"['IEA Monthly Report', 'PPI', 'Michigan Consumer Expectations', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2023-08-15,['Retail Sales']
2023-08-16,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2023-08-17,['Continuing Jobless Claims']
2023-08-18,['U.S. Baker Hughes Oil Rig Count']
2023-08-23,['Crude Oil Inventories']
2023-08-24,"['Continuing Jobless Claims', 'Durable Goods Orders']"
2023-08-25,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-08-29,['JOLTs Job Openings']
2023-08-30,"['Core PCE Prices', 'Crude Oil Inventories']"
2023-08-31,['Continuing Jobless Claims']
2023-09-01,"['Nonfarm Payrolls', 'ISM Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-09-06,['ISM Non-Manufacturing PMI']
2023-09-07,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2023-09-08,['U.S. Baker Hughes Oil Rig Count']
2023-09-12,"['OPEC Monthly Report', 'EIA Short-Term Energy Outlook', 'WASDE Report', '10-Year Note Auction']"
2023-09-13,"['IEA Monthly Report', 'CPI', 'Crude Oil Inventories', '30-Year Bond Auction']"
2023-09-14,"['Continuing Jobless Claims', 'PPI', 'Retail Sales']"
2023-09-15,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-09-20,"['Crude Oil Inventories', 'FOMC Statement']"
2023-09-21,['Continuing Jobless Claims']
2023-09-22,['U.S. Baker Hughes Oil Rig Count']
2023-09-27,"['Durable Goods Orders', 'Crude Oil Inventories']"
2023-09-28,"['Continuing Jobless Claims', 'Core PCE Prices']"
2023-09-29,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-10-02,['ISM Manufacturing PMI']
2023-10-03,"['JOLTs Job Openings', 'ISM Manufacturing PMI']"
2023-10-04,"['ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2023-10-05,['Continuing Jobless Claims']
2023-10-06,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2023-10-11,"['PPI', 'EIA Short-Term Energy Outlook', '10-Year Note Auction', 'FOMC Meeting Minutes']"
2023-10-12,"['IEA Monthly Report', 'OPEC Monthly Report', 'Continuing Jobless Claims', 'CPI', 'Crude Oil Inventories', 'WASDE Report', '30-Year Bond Auction']"
2023-10-13,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-10-14,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-10-17,['Retail Sales']
2023-10-18,"['Crude Oil Inventories', 'Retail Sales']"
2023-10-19,['Continuing Jobless Claims']
2023-10-20,"['U.S. Baker Hughes Oil Rig Count', 'Continuing Jobless Claims']"
2023-10-25,['Crude Oil Inventories']
2023-10-26,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders', 'Crude Oil Inventories']"
2023-10-27,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-10-28,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-11-01,"['ISM Manufacturing PMI', 'JOLTs Job Openings', 'Crude Oil Inventories', 'FOMC Statement']"
2023-11-02,['Continuing Jobless Claims']
2023-11-03,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-11-04,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-11-07,['EIA Short-Term Energy Outlook']
2023-11-08,['10-Year Note Auction']
2023-11-09,"['Continuing Jobless Claims', 'WASDE Report', '30-Year Bond Auction']"
2023-11-10,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-11-13,['OPEC Monthly Report']
2023-11-14,"['IEA Monthly Report', 'CPI']"
2023-11-15,"['PPI', 'Retail Sales', 'Crude Oil Inventories', 'IEA Monthly Report', 'CPI']"
2023-11-16,"['Continuing Jobless Claims', 'PPI', 'Retail Sales', 'Crude Oil Inventories']"
2023-11-17,"['U.S. Baker Hughes Oil Rig Count', 'Continuing Jobless Claims']"
2023-11-21,['FOMC Meeting Minutes']
2023-11-22,"['Continuing Jobless Claims', 'Durable Goods Orders', 'Michigan Consumer Expectations', 'Crude Oil Inventories', 'U.S. Baker Hughes Oil Rig Count']"
2023-11-29,"['Core PCE Prices', 'Crude Oil Inventories']"
2023-11-30,"['Continuing Jobless Claims', 'Core PCE Prices', 'Crude Oil Inventories']"
2023-12-01,"['ISM Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-12-02,"['ISM Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2023-12-05,"['ISM Non-Manufacturing PMI', 'JOLTs Job Openings']"
2023-12-06,['Crude Oil Inventories']
2023-12-07,['Continuing Jobless Claims']
2023-12-08,"['Nonfarm Payrolls', 'Michigan Consumer Expectations', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count', 'Continuing Jobless Claims']"
2023-12-11,['10-Year Note Auction']
2023-12-12,"['CPI', 'EIA Short-Term Energy Outlook', '30-Year Bond Auction']"
2023-12-13,"['OPEC Monthly Report', 'PPI', 'Crude Oil Inventories', 'FOMC Statement']"
2023-12-14,"['IEA Monthly Report', 'Continuing Jobless Claims', 'Retail Sales']"
2023-12-15,['U.S. Baker Hughes Oil Rig Count']
2023-12-20,['Crude Oil Inventories']
2023-12-21,"['Continuing Jobless Claims', 'Core PCE Prices']"
2023-12-22,"['Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-12-23,"['Durable Goods Orders', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2023-12-28,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2023-12-29,['U.S. Baker Hughes Oil Rig Count']
2024-01-01,"[""United States - New Year's Day""]"
2024-01-02,"[""United States - New Year's Day""]"
2024-01-03,"['ISM Manufacturing PMI', 'JOLTs Job Openings', 'FOMC Meeting Minutes']"
2024-01-04,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2024-01-05,"['Nonfarm Payrolls', 'ISM Non-Manufacturing PMI', 'U.S. Baker Hughes Oil Rig Count']"
2024-01-09,['EIA Short-Term Energy Outlook']
2024-01-10,"['Crude Oil Inventories', '10-Year Note Auction']"
2024-01-11,"['Continuing Jobless Claims', 'CPI', '30-Year Bond Auction']"
2024-01-12,"['PPI', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count', 'Continuing Jobless Claims', 'CPI', '30-Year Bond Auction']"
2024-01-17,"['OPEC Monthly Report', 'Retail Sales']"
2024-01-18,"['IEA Monthly Report', 'Continuing Jobless Claims', 'Crude Oil Inventories']"
2024-01-19,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-01-20,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-01-24,['Crude Oil Inventories']
2024-01-25,"['Continuing Jobless Claims', 'Core PCE Prices', 'Durable Goods Orders', 'Crude Oil Inventories']"
2024-01-26,['U.S. Baker Hughes Oil Rig Count']
2024-01-30,['JOLTs Job Openings']
2024-01-31,"['Crude Oil Inventories', 'FOMC Statement', 'JOLTs Job Openings']"
2024-02-01,"['Continuing Jobless Claims', 'ISM Manufacturing PMI', 'Crude Oil Inventories', 'FOMC Statement']"
2024-02-02,"['Nonfarm Payrolls', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-02-05,['ISM Non-Manufacturing PMI']
2024-02-06,['EIA Short-Term Energy Outlook']
2024-02-07,"['Crude Oil Inventories', '10-Year Note Auction', 'EIA Short-Term Energy Outlook']"
2024-02-08,"['Continuing Jobless Claims', 'WASDE Report', '30-Year Bond Auction', 'Crude Oil Inventories', '10-Year Note Auction']"
2024-02-09,['U.S. Baker Hughes Oil Rig Count']
2024-02-13,"['OPEC Monthly Report', 'CPI']"
2024-02-14,['Crude Oil Inventories']
2024-02-15,"['IEA Monthly Report', 'Continuing Jobless Claims', 'Retail Sales', 'Crude Oil Inventories']"
2024-02-16,"['PPI', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-02-21,['FOMC Meeting Minutes']
2024-02-22,"['Continuing Jobless Claims', 'Crude Oil Inventories']"
2024-02-23,['U.S. Baker Hughes Oil Rig Count']
2024-02-27,['Durable Goods Orders']
2024-02-28,"['Core PCE Prices', 'Crude Oil Inventories']"
2024-02-29,['Continuing Jobless Claims']
2024-03-01,"['ISM Manufacturing PMI', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-03-05,['ISM Non-Manufacturing PMI']
2024-03-06,"['Fed Chair Powell Testifies', 'JOLTs Job Openings', 'Crude Oil Inventories']"
2024-03-07,"['Continuing Jobless Claims', 'Fed Chair Powell Testifies']"
2024-03-08,"['Nonfarm Payrolls', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2024-03-09,"['Nonfarm Payrolls', 'WASDE Report', 'U.S. Baker Hughes Oil Rig Count']"
2024-03-12,"['OPEC Monthly Report', 'CPI', 'EIA Short-Term Energy Outlook', '10-Year Note Auction']"
2024-03-13,"['Crude Oil Inventories', '30-Year Bond Auction']"
2024-03-14,"['IEA Monthly Report', 'Continuing Jobless Claims', 'PPI', 'Retail Sales']"
2024-03-15,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-03-20,"['Crude Oil Inventories', 'FOMC Statement']"
2024-03-21,['Continuing Jobless Claims']
2024-03-22,['U.S. Baker Hughes Oil Rig Count']
2024-03-26,['Durable Goods Orders']
2024-03-27,['Crude Oil Inventories']
2024-03-28,"['Continuing Jobless Claims', 'Core PCE Prices', 'Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-08-14,"['CPI', 'Crude Oil Inventories']"
2024-08-15,"['Continuing Jobless Claims', 'Retail Sales']"
2024-08-16,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-08-21,"['Crude Oil Inventories', 'FOMC Meeting Minutes']"
2024-08-22,['Continuing Jobless Claims']
2024-08-23,['U.S. Baker Hughes Oil Rig Count']
2024-08-26,['Durable Goods Orders']
2024-08-28,['Crude Oil Inventories']
2024-08-29,"['Continuing Jobless Claims', 'Core PCE Prices']"
2024-08-30,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
2024-09-03,['ISM Manufacturing PMI']
2024-09-04,['JOLTs Job Openings']
2024-09-05,"['Continuing Jobless Claims', 'ISM Non-Manufacturing PMI', 'Crude Oil Inventories']"
2024-09-06,"['Nonfarm Payrolls', 'U.S. Baker Hughes Oil Rig Count']"
2024-09-11,"['CPI', 'Crude Oil Inventories', '10-Year Note Auction']"
2024-09-12,"['IEA Monthly Report', 'Continuing Jobless Claims', 'PPI', 'WASDE Report', '30-Year Bond Auction']"
2024-09-13,"['Michigan Consumer Expectations', 'U.S. Baker Hughes Oil Rig Count']"
